"
"
"Current date and time: 08 September 2023, 18:35:35"
STOCK,AMOUNT,PRICE,VALUE
AAPL,5.5,179.68,988.24
ARKK,30.03,43.62,1309.9086
TSLA,12.0,247.14,2965.68
PLTR,150.0,15.25,2287.5
MSFT,10.0,335.13,3351.3
TOTAL:,,,10902.63
"
"
"Current date and time: 08 September 2023, 18:58:25"
STOCK,AMOUNT,PRICE,VALUE
AAPL, 5.5
ARKK,30.03
TSLA,12
PLTR,150
MSFT, 10
TOTAL:,,,0
"
"
"Current date and time: 08 September 2023, 18:59:42"
STOCK,AMOUNT,PRICE,VALUE
AAPL,5.5,179.7,988.3499999999999
ARKK,30.03,43.76,1314.1127999999999
TSLA,12.0,248.0,2976.0
PLTR,150.0,15.28,2292.0
MSFT,10.0,335.27,3352.7
TOTAL:,,,10923.16
